Concept,Country,Cold_War_Cohesion,Post_Cold_War_Cohesion
sovereignty,USA,0.4522714912891388,0.3847908079624176
sovereignty,CHN,0.5008489489555359,0.6316377520561218
sovereignty,RUS,0.5317139625549316,0.48094505071640015
sovereignty,GBR,0.26062631607055664,0.28058546781539917
sovereignty,FRA,0.5142398476600647,0.4534364640712738
law,USA,0.23390930891036987,0.41620874404907227
law,CHN,0.3122422695159912,0.4365732967853546
law,RUS,0.4800910949707031,0.4101373255252838
law,GBR,0.4389752745628357,0.46186161041259766
law,FRA,0.4769163131713867,0.3489091694355011
multilateralism,USA,,
multilateralism,CHN,,0.6113809943199158
multilateralism,RUS,,0.42078977823257446
multilateralism,GBR,0.24999253451824188,0.4599633812904358
multilateralism,FRA,0.24939870834350586,0.5894256830215454
rule_law,USA,0.5890650749206543,0.5978995561599731
rule_law,CHN,,0.5978150367736816
rule_law,RUS,0.6046033501625061,0.5377377867698669
rule_law,GBR,0.4384497404098511,0.582676887512207
rule_law,FRA,0.5340257883071899,0.5059089660644531
self_determination,USA,0.460204541683197,0.4108048677444458
self_determination,CHN,0.5702997446060181,
self_determination,RUS,0.5842505693435669,0.4993540346622467
self_determination,GBR,0.5802066326141357,0.361427903175354
self_determination,FRA,0.5477145314216614,0.4423031806945801
jurisdiction,USA,,0.5509440302848816
jurisdiction,CHN,0.6740025281906128,0.45194971561431885
jurisdiction,RUS,0.3475724458694458,0.23172308504581451
jurisdiction,GBR,,0.12006241828203201
jurisdiction,FRA,0.20568862557411194,0.07051625102758408
decolonization,USA,0.1633376181125641,
decolonization,CHN,0.21205966174602509,
decolonization,RUS,0.37001585960388184,0.45029643177986145
decolonization,GBR,0.22301647067070007,
decolonization,FRA,0.43971654772758484,0.19784171879291534
treaty,USA,0.5554929971694946,0.6075525879859924
treaty,CHN,0.5851719975471497,0.6074418425559998
treaty,RUS,0.6275062561035156,0.5521976947784424
treaty,GBR,0.5686832070350647,0.603851318359375
treaty,FRA,0.589931845664978,0.5946023464202881
diplomacy,USA,0.30588486790657043,0.4433899223804474
diplomacy,CHN,0.296603798866272,0.45849576592445374
diplomacy,RUS,0.21048887073993683,0.4815381169319153
diplomacy,GBR,0.4164058566093445,0.34004583954811096
diplomacy,FRA,0.3487464189529419,0.19055286049842834
governance,USA,,0.4447474479675293
governance,CHN,,0.4789640009403229
governance,RUS,,0.47118449211120605
governance,GBR,,0.4275404214859009
governance,FRA,,0.378635436296463
