year,country,Concept,Semantic_Cohesion,vote_score,vote_total
1971,CHN,human_right,0.09818508,0.8703703703703703,79
1971,RUS,sovereignty,0.29705673,0.7784810126582279,79
1971,FRA,sovereignty,0.44609058,0.6730769230769231,79
1972,USA,human_right,0.6381434,0.6524390243902439,82
1972,CHN,sovereignty,0.46728522,0.8790322580645161,82
1972,RUS,sovereignty,0.35557002,0.8170731707317073,82
1972,FRA,human_right,0.20363301,0.691358024691358,82
1973,USA,human_right,0.29504812,0.5675675675675675,74
1973,CHN,sovereignty,0.40837932,0.8793103448275862,74
1973,RUS,human_right,0.40594018,0.8243243243243243,74
1974,USA,sovereignty,0.3310404,0.5,56
1974,USA,human_right,0.27910012,0.5,56
1974,CHN,sovereignty,0.3280428,0.8586956521739131,56
1974,RUS,sovereignty,0.3894218,0.8035714285714286,56
1974,RUS,human_right,0.19529288,0.8035714285714286,56
1975,USA,human_right,0.5911863,0.5,72
1975,CHN,sovereignty,0.37555414,0.8571428571428571,72
1975,RUS,sovereignty,0.45602447,0.7638888888888888,72
1975,FRA,sovereignty,0.1534763,0.6619718309859155,72
1975,FRA,human_right,0.33221683,0.6619718309859155,72
1976,USA,sovereignty,0.501099,0.4602272727272727,90
1976,USA,human_right,0.40182182,0.4602272727272727,90
1976,CHN,sovereignty,0.26209545,0.8785714285714286,90
1976,RUS,human_right,0.31701428,0.8166666666666667,90
1976,GBR,human_right,0.44140005,0.6,90
1976,FRA,sovereignty,0.3874665,0.5965909090909091,90
1976,FRA,human_right,0.3629946,0.5965909090909091,90
1977,USA,sovereignty,0.16511683,0.5913978494623656,94
1977,USA,human_right,0.15275231,0.5913978494623656,94
1977,CHN,sovereignty,0.3755358,0.917910447761194,94
1977,RUS,human_right,0.5923347,0.8191489361702128,94
1977,GBR,human_right,0.28650385,0.6989247311827957,94
1977,FRA,sovereignty,0.3506612,0.6774193548387096,94
1977,FRA,human_right,0.2532293,0.6774193548387096,94
1978,USA,human_right,0.34083718,0.6188118811881188,104
1978,RUS,sovereignty,0.3639683,0.7451923076923077,104
1978,GBR,sovereignty,0.06525779,0.6875,104
1978,GBR,human_right,0.2686054,0.6875,104
1978,FRA,sovereignty,0.36548942,0.6504854368932039,104
1978,FRA,human_right,0.55879223,0.6504854368932039,104
1979,USA,human_right,0.4741702,0.4417808219178082,147
1979,CHN,sovereignty,0.40792468,0.9796747967479674,147
1979,RUS,sovereignty,0.16979343,0.7448979591836735,147
1979,RUS,human_right,0.3567366,0.7448979591836735,147
1979,GBR,human_right,0.01851027,0.5272108843537415,147
1979,FRA,sovereignty,0.33269462,0.5170068027210885,147
1979,FRA,human_right,0.40686318,0.5170068027210885,147
